docid,date,hottness
504,2009-12-15 18:30:00+00:00,1372.8371213
5281,2009-04-06 18:30:00+00:00,887.0771213
7906,2009-12-30 18:30:00+00:00,1401.46103
7908,2009-10-12 18:30:00+00:00,1249.9571213
7909,2009-12-30 18:30:00+00:00,1401.85897
7912,2009-10-06 18:30:00+00:00,1238.4371213
7972,2009-12-28 18:30:00+00:00,1397.7971213
8488,2009-12-30 18:30:00+00:00,1401.16
8500,2009-07-07 18:30:00+00:00,1063.24
8860,2009-11-15 18:30:00+00:00,1315.2371213
10349,2009-12-07 18:30:00+00:00,1357.60206
10420,2009-12-30 18:30:00+00:00,1401.16
13451,2009-12-29 18:30:00+00:00,1399.24
14314,2009-11-24 18:30:00+00:00,1332.5171213
15975,2009-12-01 18:30:00+00:00,1345.9571213
16754,2009-03-07 18:30:00+00:00,829.4771213
19239,2009-12-14 18:30:00+00:00,1370.9171213
19298,2009-12-29 18:30:00+00:00,1399.7171213
19798,2009-12-20 18:30:00+00:00,1381.96
20171,2009-12-30 18:30:00+00:00,1401.16
25661,2009-12-30 18:30:00+00:00,1401.16
25662,2009-12-30 18:30:00+00:00,1401.16
25717,2009-12-30 18:30:00+00:00,1401.16
25799,2009-11-12 18:30:00+00:00,1309.4771213
26502,2009-12-30 18:30:00+00:00,1401.16
26571,2009-08-19 18:30:00+00:00,1146.2771213
28040,2009-12-30 18:30:00+00:00,1401.16
28210,2009-08-03 18:30:00+00:00,1115.5571213
29389,2009-12-14 18:30:00+00:00,1370.44
30442,2009-12-28 18:30:00+00:00,1397.7971213
31040,2009-12-30 18:30:00+00:00,1401.46103
31042,2009-11-28 18:30:00+00:00,1339.72
31208,2009-12-14 18:30:00+00:00,1370.44
31497,2009-12-21 18:30:00+00:00,1384.9591812
34497,2009-08-03 18:30:00+00:00,1115.5571213
34501,2009-02-24 18:30:00+00:00,808.3571213
34503,2009-02-13 18:30:00+00:00,787.2371213
34504,2008-12-17 18:30:00+00:00,675.8771213
34505,2008-08-26 18:30:00+00:00,458.9171213
34507,2008-07-22 18:30:00+00:00,391.7171213
34642,2009-12-21 18:30:00+00:00,1385.1104489
34933,2009-12-30 18:30:00+00:00,1401.6371213
34972,2009-11-24 18:30:00+00:00,1332.5171213
36179,2009-12-30 18:30:00+00:00,1401.6371213
36611,2009-12-30 18:30:00+00:00,1401.6371213
37270,2009-12-26 18:30:00+00:00,1393.48
37966,2008-10-16 18:30:00+00:00,556.36
38584,2009-12-30 18:30:00+00:00,1401.16
39006,2009-07-16 18:30:00+00:00,1080.82103
39013,2009-11-23 18:30:00+00:00,1330.12
39014,2009-12-23 18:30:00+00:00,1387.72
39017,2009-12-14 18:30:00+00:00,1370.74103
39130,2009-12-20 18:30:00+00:00,1382.26103
39280,2008-10-16 18:30:00+00:00,556.36
39302,2009-12-30 18:30:00+00:00,1401.16
39436,2009-12-19 18:30:00+00:00,1380.04
39560,2009-12-17 18:30:00+00:00,1376.6771213
39667,2008-07-07 18:30:00+00:00,362.74103
39688,2009-12-15 18:30:00+00:00,1372.66103
39829,2009-12-29 18:30:00+00:00,1399.24
39841,2009-12-15 18:30:00+00:00,1372.8371213
40054,2009-12-12 18:30:00+00:00,1367.0771213
40207,2009-12-28 18:30:00+00:00,1397.7971213
