EventOnScroll,MSecForDownArrow,TimeOnVScroll,relevant,NumOfPageUp,TimeOnMouse,NumOfPageDown,ClickOnWindow,log_id,serverTimeVisit,MSecForPageUp,MSecForUpArrow,NumOfUpArrow,classes,MSecForPageDown,RSS_ID,readability,TimeOnHScroll,novelty,user_like,DOC_ID,TimeOnPage,TimeVisit,user_id,NumOfDownArrow,authority
0,0,0,1,0,741,0,0,7025,04-05-2004 21:52,0,0,0,Citigroup,0,5,0,0,1,-1,504,1842,04-05-2004 21:52,80,0,0
0,0,0,3,0,180,0,0,9336,09-05-2004 22:37,0,0,0,strange,0,2970,1,0,4,-1,5281,4046,09-05-2004 22:37,91,0,0
1,0,0,4,0,160,0,0,4859,29-04-2004 17:06,0,0,0,,0,6900,1,0,4,2,7906,80466,29-04-2004 17:06,56,0,1
0,1271,0,5,0,290,0,0,4613,28-04-2004 23:54,0,321,3,familar%20topic|business,0,6900,1,0,5,2,7906,42181,28-04-2004 23:54,63,9,1
0,830,0,5,0,1001,0,2,4614,28-04-2004 23:56,0,641,5,familar%20topic|business,0,6900,1,0,5,2,7908,69239,28-04-2004 23:56,63,5,1
0,0,0,4,0,1080,0,0,4747,29-04-2004 13:09,0,0,0,politics,0,6900,1,0,4,2,7908,365047,29-04-2004 13:09,73,0,1
0,0,0,5,0,423,0,0,4403,28-04-2004 14:03,0,0,0,world%20news|business,0,6900,1,0,5,2,7908,18516,28-04-2004 14:03,76,0,1
1,0,0,2,0,438,0,2,5004,29-04-2004 23:32,0,0,0,political,0,6900,1,0,2,1,7909,40172,29-04-2004 23:32,59,0,0
0,140,0,1,0,2184,0,2,4615,28-04-2004 23:57,0,120,1,difficult%20to%20understand|tech,0,6900,0,0,1,-1,7909,36693,28-04-2004 23:57,63,1,-1
2,0,0,2,0,1688,0,2,5006,29-04-2004 23:33,0,0,0,political,0,6900,1,0,2,-1,7912,31813,29-04-2004 23:33,59,0,0
0,0,0,1,0,328,0,0,2461,23-04-2004 17:04,0,0,0,,0,6681,1,0,1,-1,7972,6625,23-04-2004 17:04,67,0,0
0,0,0,4,0,1736,0,0,5130,30-04-2004 02:16,0,0,0,international,0,7350,1,0,5,2,8488,37234,30-04-2004 02:16,83,0,1
1,0,0,4,0,1125,0,0,5131,30-04-2004 02:17,0,0,0,international|politics,0,7350,1,0,4,2,8500,39453,30-04-2004 02:17,83,0,1
0,0,0,1,0,380,0,0,7028,04-05-2004 21:53,0,0,0,Citigroup,0,14,0,0,1,-1,8860,1342,04-05-2004 21:53,80,0,0
1,0,0,3,0,1735,0,1,1690,21-04-2004 21:18,0,0,0,,0,986,1,0,3,1,10349,67531,21-04-2004 21:18,65,0,1
1,0,0,3,0,1735,0,1,1801,21-04-2004 23:23,0,0,0,,0,986,1,0,3,1,10349,141453,21-04-2004 09:16,65,0,1
0,0,0,5,0,2948,0,0,6884,04-05-2004 17:59,0,0,0,golf,0,989,1,0,5,2,10420,25750,04-05-2004 17:59,66,0,1
0,0,0,2,0,124,0,1,7004,04-05-2004 21:38,0,0,0,celebrity|wow!|entertainment,0,1550,1,0,3,2,13451,65874,04-05-2004 21:38,92,0,1
0,0,0,-1,0,6842,0,0,1467,21-04-2004 19:52,0,0,0,,0,3485,-1,0,-1,-1,14314,33360,20-04-2004 10:10,66,0,-1
0,0,0,1,0,328,0,0,5152,30-04-2004 02:43,0,0,0,technology|economy,0,1288,0,0,1,-1,15975,1671,30-04-2004 02:43,83,0,0
0,0,0,1,0,172,0,0,6156,03-05-2004 03:01,0,0,0,difficult%20to%20understand,0,1306,0,0,1,-1,16754,2594,03-05-2004 03:01,83,0,0
0,0,0,3,0,3183,0,2,7967,06-05-2004 19:33,0,0,0,forum|difficult%20to%20understand|nature/environment|bad%20news,0,2981,0,0,1,-1,19239,22890,06-05-2004 19:33,92,0,0
0,0,0,1,0,320,0,0,8665,08-05-2004 17:29,0,0,0,canada,0,3481,0,0,1,-1,19298,4226,08-05-2004 17:29,83,0,0
0,0,0,5,0,594,0,1,5168,30-04-2004 03:06,0,0,0,science|india|technology,0,5590,1,0,5,2,19798,68312,30-04-2004 03:06,83,0,1
0,0,0,4,0,829,0,0,6887,04-05-2004 17:59,0,0,0,golf,0,8,1,0,5,2,20171,1968,04-05-2004 17:59,66,0,1
0,0,0,5,0,45745,0,0,9270,09-05-2004 20:47,0,0,0,,0,8151,1,0,5,2,25661,311609,09-05-2004 20:47,65,0,1
0,0,0,5,0,3268,0,0,6894,04-05-2004 18:02,0,0,0,golf,0,8151,1,0,4,2,25662,98781,04-05-2004 18:02,66,0,1
0,0,0,5,0,4155,0,1,7381,05-05-2004 19:58,0,0,0,,0,8145,1,0,5,2,25717,40047,05-05-2004 19:58,65,0,1
0,0,0,3,0,2597,0,1,9191,09-05-2004 20:16,0,0,0,,0,5,0,0,3,-1,25799,11407,09-05-2004 20:16,65,0,0
